Frame,Class,Confidence,BBox
232,person,0.75,"[1934, 277, 2028, 466]"
232,person,0.75,"[1415, 273, 1497, 433]"
232,person,0.73,"[1012, 334, 1090, 543]"
232,person,0.67,"[894, 594, 986, 784]"
232,person,0.64,"[653, 725, 814, 872]"
232,person,0.6,"[945, 275, 1007, 464]"
232,person,0.57,"[1550, 972, 1603, 1113]"
232,person,0.56,"[1037, 868, 1136, 976]"
232,person,0.54,"[1562, 286, 1642, 403]"
232,person,0.38,"[1526, 971, 1603, 1112]"
232,person,0.38,"[851, 915, 929, 990]"
232,person,0.27,"[757, 853, 843, 979]"
232,tennis racket,0.27,"[956, 633, 995, 700]"
232,snowboard,0.27,"[2030, 702, 2160, 888]"
261,person,0.82,"[1571, 538, 1713, 758]"
261,person,0.79,"[1500, 372, 1643, 553]"
261,person,0.77,"[1368, 489, 1491, 693]"
261,person,0.75,"[1426, 287, 1526, 463]"
261,person,0.74,"[1049, 311, 1121, 510]"
261,person,0.74,"[1658, 357, 1739, 536]"
261,person,0.71,"[2016, 287, 2085, 470]"
261,person,0.71,"[1542, 979, 1634, 1113]"
261,person,0.67,"[1042, 873, 1129, 974]"
261,person,0.65,"[988, 611, 1079, 766]"
261,person,0.57,"[1003, 262, 1047, 443]"
261,tennis racket,0.47,"[1450, 591, 1491, 671]"
261,person,0.35,"[927, 763, 1030, 963]"
290,person,0.8,"[1681, 341, 1756, 515]"
290,person,0.8,"[1541, 361, 1649, 558]"
290,person,0.8,"[1365, 516, 1465, 735]"
290,person,0.78,"[1540, 581, 1667, 816]"
290,person,0.77,"[1442, 308, 1545, 488]"
290,person,0.73,"[2058, 299, 2137, 481]"
290,person,0.7,"[1043, 303, 1122, 488]"
290,person,0.64,"[999, 253, 1098, 433]"
290,person,0.57,"[1046, 681, 1201, 842]"
290,person,0.46,"[1100, 787, 1194, 982]"
290,person,0.39,"[1040, 880, 1150, 983]"
290,person,0.37,"[886, 914, 967, 989]"
319,person,0.78,"[1377, 606, 1539, 852]"
319,person,0.78,"[1425, 305, 1498, 486]"
319,person,0.72,"[1559, 369, 1648, 561]"
319,person,0.72,"[2082, 295, 2161, 491]"
319,person,0.62,"[1677, 331, 1768, 518]"
319,person,0.62,"[996, 299, 1093, 494]"
319,person,0.62,"[1064, 718, 1186, 893]"
319,person,0.58,"[1006, 870, 1104, 976]"
319,person,0.58,"[1349, 576, 1428, 743]"
319,person,0.51,"[1163, 808, 1280, 974]"
319,person,0.43,"[999, 249, 1059, 423]"
319,person,0.3,"[724, 264, 801, 426]"
348,person,0.79,"[1357, 301, 1453, 474]"
348,person,0.77,"[1239, 613, 1391, 918]"
348,person,0.68,"[2074, 287, 2161, 484]"
348,person,0.63,"[968, 322, 1036, 507]"
348,person,0.52,"[1548, 394, 1640, 583]"
348,person,0.51,"[1548, 388, 1681, 583]"
348,person,0.47,"[977, 851, 1084, 986]"
348,person,0.47,"[1032, 756, 1148, 881]"
348,person,0.4,"[1154, 812, 1268, 978]"
348,person,0.35,"[1983, 238, 2041, 293]"
348,person,0.33,"[893, 909, 974, 984]"
348,person,0.29,"[1662, 276, 1722, 414]"
377,person,0.8,"[1321, 291, 1421, 463]"
377,person,0.7,"[1454, 341, 1543, 554]"
377,person,0.65,"[2042, 285, 2118, 462]"
377,person,0.65,"[920, 323, 997, 531]"
377,person,0.65,"[1286, 637, 1414, 873]"
377,person,0.62,"[1643, 272, 1735, 401]"
377,person,0.56,"[1010, 269, 1075, 453]"
377,person,0.47,"[1535, 260, 1585, 424]"
377,person,0.4,"[944, 839, 1032, 975]"
377,person,0.38,"[1230, 820, 1397, 978]"
377,person,0.33,"[1133, 759, 1266, 946]"
406,person,0.79,"[1130, 710, 1275, 961]"
406,person,0.77,"[1463, 741, 1620, 949]"
406,person,0.74,"[850, 360, 929, 573]"
406,person,0.73,"[962, 288, 1041, 463]"
406,person,0.68,"[1297, 323, 1395, 504]"
406,person,0.62,"[1661, 264, 1724, 411]"
406,person,0.62,"[1243, 749, 1338, 969]"
406,person,0.59,"[1425, 243, 1486, 382]"
406,person,0.57,"[1941, 271, 1995, 436]"
406,person,0.45,"[1329, 690, 1437, 874]"
406,person,0.44,"[931, 842, 1012, 976]"
406,person,0.3,"[869, 884, 946, 972]"
435,person,0.84,"[1254, 661, 1377, 909]"
435,person,0.81,"[1324, 338, 1430, 519]"
435,person,0.77,"[789, 422, 871, 626]"
435,person,0.75,"[1131, 297, 1218, 474]"
435,person,0.72,"[1523, 616, 1607, 838]"
435,person,0.71,"[900, 306, 974, 465]"
435,person,0.68,"[1612, 267, 1710, 421]"
435,person,0.66,"[1762, 237, 1832, 412]"
435,person,0.66,"[974, 710, 1069, 976]"
435,person,0.6,"[1157, 608, 1243, 845]"
435,person,0.6,"[1345, 215, 1409, 349]"
435,person,0.53,"[1104, 606, 1243, 845]"
435,person,0.46,"[817, 885, 893, 974]"
435,person,0.44,"[897, 851, 990, 980]"
435,person,0.33,"[530, 354, 592, 543]"
464,person,0.82,"[1227, 553, 1353, 756]"
464,person,0.81,"[908, 313, 1017, 470]"
464,person,0.78,"[1046, 276, 1143, 437]"
464,person,0.77,"[1425, 541, 1568, 700]"
464,person,0.76,"[1304, 359, 1382, 544]"
464,person,0.76,"[791, 371, 863, 590]"
464,person,0.73,"[983, 548, 1088, 779]"
464,person,0.65,"[1588, 274, 1678, 430]"
464,person,0.65,"[1300, 169, 1371, 345]"
464,person,0.45,"[859, 724, 937, 928]"
464,person,0.44,"[879, 843, 982, 977]"
464,person,0.42,"[798, 883, 872, 973]"
464,person,0.39,"[1661, 266, 1712, 397]"
464,person,0.29,"[502, 965, 615, 1112]"
493,person,0.75,"[907, 521, 994, 717]"
493,person,0.75,"[1234, 475, 1417, 680]"
493,person,0.72,"[1303, 177, 1369, 353]"
493,person,0.71,"[921, 305, 1020, 463]"
493,person,0.71,"[805, 346, 884, 559]"
493,person,0.7,"[1096, 250, 1161, 421]"
493,person,0.59,"[1584, 275, 1664, 436]"
493,person,0.5,"[1518, 262, 1607, 370]"
493,person,0.49,"[904, 839, 1003, 978]"
493,person,0.46,"[857, 717, 942, 924]"
493,person,0.34,"[800, 883, 878, 972]"
493,person,0.32,"[511, 961, 615, 1112]"
493,person,0.31,"[1277, 405, 1365, 517]"
493,person,0.27,"[724, 844, 804, 981]"
522,person,0.8,"[974, 330, 1095, 479]"
522,person,0.74,"[862, 499, 962, 738]"
522,person,0.64,"[1324, 215, 1393, 380]"
522,person,0.63,"[1613, 315, 1687, 482]"
522,person,0.63,"[1164, 269, 1215, 415]"
522,person,0.53,"[1488, 235, 1562, 394]"
522,person,0.5,"[892, 729, 981, 913]"
522,person,0.47,"[1199, 423, 1278, 587]"
522,person,0.47,"[864, 374, 951, 539]"
522,person,0.4,"[911, 864, 1007, 988]"
522,person,0.29,"[678, 861, 762, 987]"
522,person,0.28,"[1100, 461, 1165, 616]"
522,person,0.27,"[821, 907, 901, 980]"
551,person,0.74,"[1673, 356, 1743, 529]"
551,person,0.69,"[1196, 298, 1270, 451]"
551,person,0.63,"[1512, 248, 1577, 412]"
551,person,0.62,"[1134, 386, 1192, 589]"
551,person,0.61,"[892, 731, 1009, 969]"
551,person,0.58,"[1016, 352, 1113, 497]"
551,person,0.56,"[866, 483, 950, 675]"
551,person,0.53,"[1392, 271, 1453, 415]"
551,person,0.36,"[896, 866, 984, 982]"
551,person,0.34,"[936, 491, 1030, 648]"
551,person,0.3,"[940, 447, 1054, 646]"
551,person,0.25,"[727, 886, 798, 969]"
580,person,0.84,"[1187, 334, 1311, 500]"
580,person,0.76,"[954, 746, 1064, 982]"
580,person,0.73,"[1562, 268, 1624, 436]"
580,person,0.72,"[1728, 399, 1801, 562]"
580,person,0.62,"[1480, 313, 1529, 462]"
580,person,0.56,"[1022, 402, 1112, 599]"
580,person,0.44,"[925, 885, 1019, 992]"
